Car_Id,Company,Model,Variant,FuelType,Colour,Kilometer driven,BodyStyle,TransmissionType,Registered_city,Registered_state,ManufactureDate,ModelYear,Manufacturing price,Reason,Age
525978,CHEVROLET,SPARK,E 1.0,PETROL,Red,43800,HATCHBACK,Manual,delhi,delhi,01-06-2011,2011,377899,Income issues,55
525988,HYUNDAI,I10,MAGNA,PETROL,Golden,55300,HATCHBACK,Manual,mumbai,maharashtra,01-08-2010,2010,377899,Income issues,19
526497,HONDA,CITY,1.5 V MT,DIESEL,Black,47080,SEDAN,Manual,panvel,maharashtra,01-06-2017,2017,435599,Budget,50
528004,TATA,HEXA,XT 4X2 6 STR,DIESEL,Grey,53614,SUV,Manual,hyderabad,telangana,01-08-2017,2017,417799,Budget,21
528432,MARUTI SUZUKI,CELERIO,ZDI,DIESEL,L Grey,98554,HATCHBACK,Manual,panvel,maharashtra,01-08-2015,2015,199799,Income issues,45
528937,HYUNDAI,I20,ASTA 1.2,DIESEL,Carbon Bronze,44779,HATCHBACK,Manual,chennai,tamil nadu,01-06-2012,2012,232199,Income issues,46
529514,JEEP,COMPASS,LIMITED O 1.4 PETROL AT,PETROL,Red,44588,SUV,Manual,ahmedabad,gujarat,01-05-2018,2018,430399,Budget,63
530431,HYUNDAI,I20,1.2 ERA,PETROL,Silver,54716,HATCHBACK,Manual,hisar,haryana,01-03-2018,2018,507799,Budget,27
530496,MARUTI SUZUKI,SWIFT DZIRE,VXI,PETROL,Golden,36212,SEDAN,Manual,bengaluru,karnataka,01-08-2017,2017,205899,Budget,26
530502,MAHINDRA,XUV 500,W10,DIESEL,White,80537,SUV,Manual,delhi,delhi,01-12-2017,2017,133199,Budget,57
530914,MARUTI SUZUKI,SWIFT,VXI,PETROL,G. Red,32227,HATCHBACK,Manual,bengaluru,karnataka,01-04-2017,2017,252699,Budget,53
531083,KIA,SELTOS,HTK PLUS 1.5,PETROL,Red,27487,SUV,Manual,delhi,delhi,01-06-2020,2020,1105948,Budget,30
531313,HONDA,CITY,V MT DIESEL,DIESEL,Cherry Red,30954,SEDAN,Manual,chennai,tamil nadu,01-05-2019,2019,323699,High traffic urban area,61
531330,MARUTI SUZUKI,BALENO,ZETA,PETROL,Red,43209,HATCHBACK,Manual,vasai,maharashtra,01-09-2017,2017,244799,High traffic urban area,65
531927,MARUTI SUZUKI,ALTO 800,LXI,PETROL,White,48221,HATCHBACK,Manual,delhi,delhi,01-02-2017,2017,615099,High traffic urban area,64
532056,HONDA,CITY,1.5 V MT,PETROL,Chocolate Brown,80165,SEDAN,Manual,chennai,tamil nadu,01-10-2014,2014,648899,High traffic urban area,64
532089,MARUTI SUZUKI,IGNIS,DELTA 1.2 AT,PETROL,White,21442,HATCHBACK,Manual,bangalore k r puram,karnataka,01-02-2018,2018,361899,High traffic urban area,25
532125,FORD,ENDEAVOUR,TREND 2.2 4X2 AT,DIESEL,A Blue,127241,SUV,Manual,mumbai,maharashtra,01-06-2018,2018,400299,High traffic urban area,53
532152,MARUTI SUZUKI,SWIFT,VDI,DIESEL,Grey,86127,HATCHBACK,Manual,meerut,uttar pradesh,01-04-2016,2016,291999,High traffic urban area,52
532212,BMW,X1,SDRIVE20D EXPEDITION,DIESEL,Blue,29778,SUV,Manual,mumbai,maharashtra,01-06-2018,2018,376799,High traffic urban area,66
532429,HYUNDAI,VERNA,1.6 CRDI SX O,DIESEL,Pearl White,32956,SEDAN,Manual,delhi,delhi,01-09-2017,2017,341599,High traffic urban area,21
533167,MAHINDRA,SCORPIO,SLE BS IV,DIESEL,Diamond White,92441,SUV,Manual,pune,maharashtra,01-06-2010,2010,329999,High traffic urban area,31
533358,HONDA,CITY 5TH GEN,V PETROL BS-VI,DIESEL,Brown,22974,SEDAN,Manual,bengaluru,karnataka,01-09-2020,2020,239199,Pandemic,56
533602,HONDA,CITY,1.5 S MT,PETROL,White,50000,SEDAN,Manual,bangalore south,karnataka,01-08-2010,2010,481899,High traffic urban area,31
533629,MAHINDRA,BOLERO,ZLX,DIESEL,White,70380,SUV,Manual,electronic city,karnataka,01-03-2015,2015,534599,High traffic urban area,18
534024,HYUNDAI,GRAND I10,1.2 KAPPA SPORTZ,PETROL,White,49154,HATCHBACK,Manual,gurgaon,haryana,01-02-2018,2018,145799,High traffic urban area,18
534086,MARUTI SUZUKI,BALENO,ZETA AT 1.2,PETROL,Blue,48520,HATCHBACK,Manual,pune,maharashtra,01-08-2017,2017,337399,High traffic urban area,38
534236,FORD,FIGO,EXI DURATORQ 1.4,DIESEL,Seafoam Green,75155,HATCHBACK,Manual,bengaluru,karnataka,01-05-2011,2011,702299,High traffic urban area,56
535644,HYUNDAI,ACCENT,EXECUTIVE,CNG,Red,55000,SEDAN,Manual,hyderabad,telangana,01-05-2011,2011,259199,High traffic urban area,54
535808,MARUTI SUZUKI,VITARA BREZZA,VDi,DIESEL,Silver,51971,HATCHBACK,Manual,pune,maharashtra,01-09-2019,2019,222999,High traffic urban area,31
536012,CHEVROLET,SPARK,PS 1.0,PETROL,A Blue,34522,HATCHBACK,Manual,gurgaon,haryana,01-04-2009,2009,203099,High traffic urban area,57
536132,RENAULT,KWID,1.0 RXT O,PETROL,Silver,35231,HATCHBACK,Manual,mumbai,maharashtra,01-11-2018,2018,476899,High traffic urban area,33
536241,MARUTI SUZUKI,BALENO,DELTA 1.2,PETROL,Blue,84102,HATCHBACK,Manual,delhi,delhi,01-04-2018,2018,432299,High traffic urban area,36
